#,单词,音标,解释,笔记
0,"assimilate","英:/ə'sɪmɪleɪt/ 美:/ə'sɪməlet/","- vt. & vi. 吸收, 消化
- 同化

时 态:  
assimilated, assimilating, assimilates 

名 词:  
assimilator",
1,"anaerobic","英:/ˌæneə'rəʊbɪk/ 美:/ænˌeəˈrobɪk/","- adj. 厌氧菌的；厌氧菌产生的
- (细菌等)能在无空气(或无氧)情况下生活(或成长)的",
2,"accrue","英:/ə'kruː/ 美:/ə'kru/","- vi. 自然增长或利益增加；产生
- vt. 积累；获得


时 态:  
accrued, accruing, accrues 

名 词:  
accruement",
3,"circumference","英:/sə'kʌmf(ə)r(ə)ns/ 美:/sɚ'kʌmfərəns/","n. 周围;圆周

形容词:  
circumferential",
4,"diminution","英:/ˌdɪmɪ'njuːʃ(ə)n/ 美:/'dɪmə'nʊʃən/","n. 减小,减少,缩减",
5,"exponent","英:/ɪk'spəʊnənt/ 美:/ɪk'sponənt/","- n. 说明者，说明物；典型；指数
- adj. 说明的",
6,"cant","英:/kænt/ 美:/kænt/","- n. 斜面；伪善之言；黑话；角落
- vi. 倾斜；讲黑话
- vt. 把…棱角去掉；使…倾斜；甩掉
- adj. 行话的；哀诉声的；假仁假义的


时 态:  
canted, canting, cants",
7,"colloquial","英:/kə'ləʊkwɪəl/ 美:/kə'lokwɪəl/","adj. 口语的, 会话的

名 词:  
colloquial

副 词:  
colloquially",
8,"discourse","英:/'dɪskɔːs/ 美:/ˈdɪskɔrs /","- n. 论文；演说；讲道
- vi. 讲述，著述

时 态:  
discoursed，discoursing，discourses",
9,"eloquence","英:/'eləkwəns/ 美:/'ɛləkwəns/","n. 口才;雄辩",
10,"innuendo","英:/ˌɪnjʊ'endəʊ/ 美:/ˌɪnju'ɛndo/","- n. 影射的话,讽刺的话
- 含沙射影,暗讽",
11,"jargon","英:/'dʒɑːg(ə)n/ 美:/'dʒɑrɡən/","n. 行话，术语；[化]黄锆石


时 态:  
jargoned, jargoning, jargons",
12,"parlance","英:/'pɑːl(ə)ns/ 美:/'pɑrləns/","n. 说法；用语；语调；发言",
13,"phonetic","英:/fəu'netik/ 美:/fəˈnɛtɪk/","adj. 语音的，语音学的；音形一致的；发音有细微区别的


副 词:  
phonetically",
14,"cadence","英:/'keɪd(ə)ns/ 美:/'kedns/","n. 节奏；韵律；抑扬顿挫


形容词:  
cadenced",
15,"cognate","英:/'kɒgneɪt/ 美:/'kɑɡnet/","- adj. 同宗的，同根的；同语系的
- n. 同家族的人；同源词

名 词:  
cognation",
16,"locution","英:/lə'kjuːʃ(ə)n/ 美:/lo'kjʊʃən/","n. 说话风格；惯用语",
17,"ellipsis","英:/ɪ'lɪpsɪs/ 美:/ɪ'lɪpsɪs/","n. 省略；省略符号；脱漏",
18,"derivation","英:/derɪ'veɪʃ(ə)n/ 美:/'dɛrə'veʃən/","- n. 发展;起源;派生
- 词源

形容词:  
derivational",
19,"runic","英:/'ruːnɪk/ 美:/'rʊnɪk/","adj. 古代北欧文字的",
20,"acquit","英:/ə'kwɪt/ 美:/ə'kwɪt/","- vt. 宣判…无罪
- 使(自己)作出某种表现

时 态:  
acquitted, acquitting, acquits",
21,"illegible","英:/ɪ'ledʒɪb(ə)l/ 美:/ɪ'lɛdʒəbl/","adj. 难辨认的;字迹模糊的

副 词:  
illegibly",
22,"immure","英:/ɪ'mjʊə/ 美:/ɪˈmjʊr/","vt. 把…嵌在墙上；监禁，禁闭


时 态:  
immured, immuring, immures 

名 词:  
immurement",
23,"incarcerate","英:/ɪn'kɑːsəreɪt/ 美:/ɪn'kɑrsəret/","- vt. 监禁,禁闭
- n. 监禁,禁闭

时 态:  
incarcerated, incarcerating, incarcerates 

名 词:  
incarceration",
24,"indict","英:/in'dait/ 美:/ɪnˈdaɪt/","vt. 控告, 起诉

时 态:  
indicted, indicting, indicts 

名 词:  
indictee",
25,"intern","英:/'ɪntɜːn/ 美:/'ɪntɝn/","- n. 住院实习医生
- vt. 拘留,关押

时 态:  
interned, interning, interns 

名 词:  
internship",
26,"accomplice","英:/ə'kʌmplɪs/ 美:/ə'kɑmplɪs/","n. 从犯, 帮凶, 同谋",
27,"adherent","英:/əd'hɪər(ə)nt/ 美:/əd'hɪrənt/","- n. 信徒；追随者
- adj. 附着的；粘着的",
28,"antecedent","英:/ˌæntɪ'siːd(ə)nt/ 美:/'æntə'sidnt/","- n. 发生在前的事，先例
- (关系代词的)先行词
- (比例)前项
- 前件
- 经历；学历
- 祖先
- 前身
- adj. 在前的，在先的，先行的

副 词:  
antecedently",
29,"aspirant","英:/ə'spaɪər(ə)nt/ 美:/ə'spaɪərənt/","- n. 有抱负的人；野心家
- adj. 上进的；有野心的",
30,"beholder","英:/bɪˈhəʊldə/ 美:/bɪ'holdɚ/","n. 旁观者；观看者",
31,"benefactor","英:/'benɪfæktə/ 美:/'bɛnɪfæktɚ/","- n. 捐助者,施主
- 恩人",
32,"blowhard","英:/'bləʊhɑːd/ 美:/'blohɑrd/","n. 吹牛大王；自吹自擂的人",
33,"braggadocio","英:/ˌbrægə'dəʊtʃɪəʊ/ 美:/ˌbræɡəˈdosiˌo/","n. 自夸,吹牛大王",
34,"braggart","英:/'brægət/ 美:/'bræɡɚt/","- n. 吹嘘；好自夸者；大言者
- adj. 自夸的；吹牛的",
35,"brat","英:/bræt/ 美:/bræt/","n. 乳臭未干的小孩；顽童


形容词:  
brattish",
36,"buffoon","英:/bə'fuːn/ 美:/bə'fun/","n. 丑角；滑稽剧演员


名 词:  
buffoonery",
37,"bystander","英:/'baɪstændə/ 美:/'baɪstændɚ/","n. 旁观者,局外人,看热闹的人",
38,"compatriot","英:/kəm'pætrɪət/ 美:/kəm'petɪət/","- n. 同胞,同国人
- adj. 同国人的,同胞的",
39,"curator","英:/kjʊ(ə)'reɪtə/ 美:/kjʊ'retɚ/","n. 馆长；监护人；管理者


形容词:  
curatorial

名 词:  
curatorship",
40,"custodian","英:/kʌ'stəʊdɪən/ 美:/kʌ'stodɪən/","n. 看守人,保管人

名 词:  
custodianship",
41,"devotee","英:/ˌdevə(ʊ)'tiː/ 美:/ˌdɛvə'ti/","n. 爱好者；信徒",
42,"diehard","英:/'daɪhɑːd/ 美:/'daɪhɑrd/","n. 顽固分子；死不屈从者；倔强的人",
43,"dissident","英:/'dɪsɪd(ə)nt/ 美:/'dɪsɪdənt/","n. 持异议者，公开大唱反调者；持不同政见者",
44,"encomiast","英:/en'kəʊmɪæst/ 美:/ɛnˈkomiˌæst/","n. 宣读或写颂辞的人,阿谀者,赞美者

形容词:  
encomiastic",
45,"fidget","英:/'fɪdʒɪt/ 美:/'fɪdʒɪt/","- vi. 烦躁；坐立不安；玩弄
- n. 烦躁；坐立不安；烦躁不安的人
- vt. 使烦乱；使不安


时 态:  
fidgeted, fidgeting, fidgets",
46,"gentry","英:/'dʒentrɪ/ 美:/ˈdʒɛntri/","n. 绅士;上等人",
47,"gourmand","英:/'gʊəmənd/ 美:/ɡʊrˈmɑnd/","- n. 美食家；贪食者
- adj. 贪食的",
48,"constituent","英:/kənˈstɪtʃuənt/ 美:/kənˈstɪtʃuənt/","- n. 选民
- 成分, 构成部分, 要素",
49,"entourage","英:/'ɒntʊrɑːʒ/ 美:/'ɑnturɑʒ/","n. 随从,随行人员",
50,"highbrow","英:/'haɪbraʊ/ 美:/'haɪbraʊ/","- adj. 文化修养高的
- n. 文化修养高的人

名 词:  
highbrowism",
51,"imp","英:/ɪmp/ 美:/ɪmp/","- n. 顽童，小淘气；小孩
- vt. 给...装上翅膀；加强

IMPabbr. Industrial Management Program 工业管理程序

时 态:  
imped, imping, imps",
52,"ingrate","英:/'ɪngreɪt/ 美:/ɪn'ɡret/","- adj. 忘恩的；不知恩的
- n. 忘恩负义的人",
53,"ingratitude","英:/ɪn'grætɪtjuːd/ 美:/ɪn'ɡrætɪtud/","n. 忘恩负义",
54,"jockey","英:/'dʒɒkɪ/ 美:/'dʒɑki/","- vt. 驾驶；欺骗；移动
- n. 驾驶员；操作工；赛马的骑师
- vi. 当赛马的骑师；耍手段图谋；搞欺骗",
55,"killjoy","英:/ˈkildʒɔi/ 美:/'kɪldʒɔɪ/","n. 扫兴的人,煞风景",
56,"knave","英:/neɪv/ 美:/nev/","- n. 恶棍,无赖
- (纸牌中的)杰克

形容词:  
knavish

副 词:  
knavishly",
57,"laity","英:/'leɪɪtɪ/ 美:/'leəti/","n. 俗人；外行人；门外汉",
58,"literati","英:/ˌlɪtə'rɑːtɪ/ 美:/ˌlɪtə'rɑti/","n. 文人（literatus的复数）；文学界",
59,"literatus","英:/ˌlɪtə'rɑːtəs/ 美:/ˌlɪtə'r'rɛi/","n. 文学界,学者",
60,"loon","英:/luːn/ 美:/lun/","n. 潜鸟；懒人；笨蛋",
61,"magnate","英:/'mægneɪt/ 美:/'mæɡnet/","n. 富豪,权贵,巨头",
62,"minion","英:/'mɪnjən/ 美:/'mɪnɪən/","- n. 奴才；宠臣
- adj. 娇美的，美雅的",
